Frame,ID,X,Y
1,1,738,366
1,2,748,114
1,3,137,458
1,4,368,174
1,5,405,90
1,6,730,467
1,7,333,168
1,8,665,75
1,9,815,150
1,10,147,198
2,1,738,366
2,2,748,114
2,3,137,458
2,4,368,174
2,5,405,90
2,6,730,467
2,7,333,168
2,8,665,75
2,9,815,150
2,10,147,198
3,1,738,366
3,2,748,114
3,3,137,458
3,4,368,174
3,5,405,90
3,6,730,467
3,7,333,168
3,8,665,75
3,9,815,150
3,10,147,198
4,1,738,366
4,2,748,114
4,3,137,458
4,4,368,174
4,5,405,90
4,6,730,467
4,7,333,168
4,8,665,75
4,9,815,150
4,10,147,198
5,1,737,366
5,2,748,114
5,3,135,458
5,4,369,175
5,5,406,90
5,6,730,467
5,7,336,168
5,8,665,74
5,9,816,144
5,10,146,199
6,1,737,367
6,2,748,114
6,3,131,458
6,4,370,174
6,5,406,89
6,6,731,467
6,7,337,167
6,8,666,73
6,9,816,140
6,10,144,198
7,1,737,366
7,2,748,114
7,3,126,458
7,4,372,174
7,5,407,89
7,6,733,468
7,7,337,167
7,8,666,74
7,9,817,139
7,10,140,197
7,11,406,254
8,1,737,366
8,2,748,114
8,3,123,459
8,4,375,174
8,5,407,88
8,6,734,468
8,7,339,167
8,8,666,74
8,9,818,139
8,10,138,199
8,11,404,257
9,1,737,368
9,2,748,114
9,3,121,460
9,4,377,173
9,5,408,87
9,6,736,468
9,7,339,167
9,8,666,74
9,9,819,140
9,10,135,202
9,11,402,260
9,12,452,45
10,1,737,372
10,2,748,114
10,3,119,460
10,4,378,173
10,5,409,87
10,6,735,469
10,7,341,167
10,8,667,73
10,9,820,140
10,10,133,206
10,11,400,261
10,12,452,45
10,13,320,472
11,1,737,374
11,2,748,112
11,3,117,460
11,4,378,172
11,5,409,86
11,7,342,167
11,8,667,72
11,9,820,139
11,10,130,203
11,11,399,261
11,12,453,45
11,13,321,472
12,1,737,375
12,2,747,111
12,3,116,461
12,4,378,172
12,5,410,85
12,7,343,167
12,8,667,72
12,9,820,139
12,10,129,202
12,11,398,261
12,12,453,45
12,13,322,471
13,1,738,377
13,2,747,111
13,3,114,461
13,4,379,170
13,5,411,86
13,7,345,166
13,8,668,71
13,9,821,140
13,10,128,205
13,11,397,261
13,12,454,46
13,13,324,471
14,1,739,380
14,2,747,110
14,3,111,462
14,4,381,168
14,5,412,87
14,7,346,166
14,8,668,70
14,9,822,140
14,10,126,209
14,11,395,264
14,12,456,46
14,13,326,471
15,1,740,386
15,2,747,109
15,3,107,462
15,4,383,166
15,5,413,87
15,7,347,165
15,8,668,69
15,9,823,139
15,10,121,209
15,11,393,269
15,12,457,46
15,13,328,471
16,1,740,389
16,2,747,108
16,3,102,463
16,4,385,165
16,5,413,87
16,7,348,163
16,8,668,67
16,9,823,139
16,10,118,207
16,11,391,270
16,12,458,45
16,13,330,470
17,1,741,390
17,2,747,106
17,3,98,463
17,4,386,164
17,5,414,87
17,7,348,161
17,8,669,66
17,9,824,139
17,10,114,208
17,11,390,267
17,12,458,44
17,13,332,470
18,1,741,390
18,2,747,106
18,3,95,464
18,4,387,164
18,5,414,86
18,7,349,159
18,8,669,66
18,9,826,138
18,10,112,210
18,11,388,264
18,12,459,44
18,13,334,469
18,14,166,164
19,1,742,389
19,2,747,105
19,3,92,464
19,4,388,163
19,5,416,87
19,7,351,158
19,8,670,65
19,9,828,132
19,10,111,211
19,11,386,263
19,12,460,43
19,13,335,469
19,14,167,164
20,1,743,389
20,2,747,105
20,3,88,464
20,4,390,163
20,5,418,85
20,7,352,157
20,8,670,66
20,9,829,129
20,10,108,215
20,11,384,264
20,12,460,43
20,13,337,469
20,14,168,163
21,1,743,391
21,2,746,105
21,3,86,465
21,4,391,163
21,5,420,83
21,7,354,157
21,8,670,66
21,10,107,217
21,11,383,267
21,12,461,43
21,13,338,468
21,14,169,162
22,1,744,395
22,2,746,105
22,3,82,465
22,4,392,164
22,5,422,82
22,7,355,156
22,8,670,66
22,10,105,220
22,11,381,278
22,12,461,42
22,13,340,468
22,14,170,160
23,1,745,400
23,2,746,105
23,3,79,466
23,4,392,163
23,5,423,82
23,7,358,156
23,8,671,65
23,10,103,221
23,11,380,283
23,12,461,42
23,13,341,467
23,14,170,158
24,1,745,404
24,2,746,104
24,3,76,466
24,4,394,161
24,5,425,83
24,7,360,156
24,8,672,65
24,10,99,221
24,11,378,285
24,12,462,42
24,13,343,467
24,14,171,157
25,1,746,408
25,2,746,102
25,3,73,467
25,4,395,160
25,5,425,83
25,7,361,156
25,8,672,64
25,10,96,221
25,11,376,285
25,12,462,42
25,13,345,467
25,14,172,156
26,1,746,411
26,2,746,101
26,3,68,467
26,4,396,158
26,5,427,83
26,7,362,156
26,8,672,62
26,10,93,221
26,11,375,286
26,12,463,41
26,13,347,467
26,14,174,158
27,1,746,413
27,2,746,100
27,3,64,468
27,4,397,157
27,5,427,83
27,7,363,156
27,8,671,61
27,10,90,221
27,11,373,285
27,12,463,41
27,13,349,466
27,14,175,157
28,1,746,414
28,2,746,99
28,3,60,468
28,4,398,156
28,5,428,84
28,7,365,155
28,8,672,61
28,10,88,223
28,11,372,283
28,12,463,41
28,13,350,466
28,14,176,158
29,1,747,414
29,2,746,99
29,3,56,468
29,4,400,156
29,5,429,84
29,7,366,152
29,8,673,60
29,10,87,225
29,11,370,280
29,12,464,41
29,13,353,466
29,14,178,157
30,1,747,415
30,2,746,98
30,3,51,469
30,4,402,155
30,5,430,83
30,7,367,150
30,8,673,59
30,10,85,226
30,11,368,281
30,12,465,41
30,13,355,465
30,14,180,157
31,1,747,415
31,2,746,98
31,3,47,469
31,4,403,155
31,5,431,83
31,7,369,150
31,8,673,59
31,10,84,227
31,11,366,280
31,12,465,40
31,13,359,465
31,14,184,157
32,1,748,416
32,2,746,97
32,3,44,469
32,4,404,155
32,5,432,82
32,7,370,148
32,8,673,60
32,10,82,229
32,11,365,279
32,12,466,40
32,13,361,464
32,14,187,158
33,1,749,416
33,2,746,97
33,3,39,470
33,4,405,154
33,5,432,81
33,7,372,148
33,8,673,59
33,10,80,230
33,11,362,281
33,12,466,39
33,13,363,464
33,14,189,158
33,15,510,35
34,1,750,417
34,2,746,97
34,3,35,471
34,4,407,153
34,5,432,80
34,7,373,147
34,8,673,59
34,10,76,231
34,11,360,283
34,12,466,39
34,13,364,463
34,14,190,157
34,15,509,35
35,1,751,418
35,2,746,98
35,3,31,471
35,4,408,152
35,5,433,80
35,7,375,147
35,8,673,58
35,10,70,231
35,11,358,287
35,12,467,39
35,13,365,463
35,14,191,156
35,15,509,36
36,1,751,419
36,2,747,98
36,3,27,472
36,4,410,151
36,5,433,80
36,7,376,147
36,8,674,58
36,10,67,231
36,11,356,292
36,12,468,39
36,13,366,462
36,14,193,154
36,15,508,36
37,1,753,420
37,2,747,97
37,3,23,473
37,4,411,151
37,5,434,79
37,7,377,147
37,8,674,58
37,10,63,230
37,11,355,294
37,12,468,38
37,13,367,462
37,14,195,152
37,15,508,36
38,1,754,421
38,2,747,96
38,3,21,473
38,4,413,150
38,5,435,78
38,7,378,147
38,8,675,57
38,10,59,232
38,11,353,298
38,12,469,38
38,13,369,461
38,14,195,151
38,15,507,36
39,1,754,422
39,2,748,95
39,3,20,474
39,4,414,149
39,5,437,78
39,7,380,147
39,8,675,56
39,10,57,234
39,11,352,299
39,12,470,38
39,13,372,461
39,14,195,150
39,15,506,37
40,1,755,424
40,2,748,94
